name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_3/encode_mean",20,4.63195,4.6166,ns,,,,,
"F16_ref_3/encode_median",20,4.58568,4.57405,ns,,,,,
"F16_ref_3/encode_stddev",20,0.119332,0.113226,ns,,,,,
"F16_test_3/encode_mean",20,3.4628,3.44911,ns,,,,,
"F16_test_3/encode_median",20,3.41996,3.41296,ns,,,,,
"F16_test_3/encode_stddev",20,0.107795,0.0997378,ns,,,,,
"F16_ref_3/decode_mean",20,4.36341,4.34987,ns,,,,,
"F16_ref_3/decode_median",20,4.31365,4.30535,ns,,,,,
"F16_ref_3/decode_stddev",20,0.113411,0.101282,ns,,,,,
"F16_test_3/decode_mean",20,5.43653,5.41797,ns,,,,,
"F16_test_3/decode_median",20,5.38008,5.36874,ns,,,,,
"F16_test_3/decode_stddev",20,0.164943,0.135565,ns,,,,,
"F16_ref_7/encode_mean",20,5.74556,5.73056,ns,,,,,
"F16_ref_7/encode_median",20,5.66048,5.64829,ns,,,,,
"F16_ref_7/encode_stddev",20,0.145591,0.137263,ns,,,,,
"F16_test_7/encode_mean",20,6.02683,6.00127,ns,,,,,
"F16_test_7/encode_median",20,5.98393,5.97335,ns,,,,,
"F16_test_7/encode_stddev",20,0.124403,0.105423,ns,,,,,
"F16_ref_7/decode_mean",20,5.34523,5.32296,ns,,,,,
"F16_ref_7/decode_median",20,5.14332,5.12577,ns,,,,,
"F16_ref_7/decode_stddev",20,0.551495,0.540689,ns,,,,,
"F16_test_7/decode_mean",20,6.37447,6.36011,ns,,,,,
"F16_test_7/decode_median",20,6.33581,6.3204,ns,,,,,
"F16_test_7/decode_stddev",20,0.14616,0.136085,ns,,,,,
"F16_ref_15/encode_mean",20,8.68304,8.64491,ns,,,,,
"F16_ref_15/encode_median",20,8.57059,8.55815,ns,,,,,
"F16_ref_15/encode_stddev",20,0.263271,0.203866,ns,,,,,
"F16_test_15/encode_mean",20,8.00981,7.98879,ns,,,,,
"F16_test_15/encode_median",20,7.93114,7.91658,ns,,,,,
"F16_test_15/encode_stddev",20,0.218473,0.20304,ns,,,,,
"F16_ref_15/decode_mean",20,7.99037,7.97103,ns,,,,,
"F16_ref_15/decode_median",20,7.93236,7.91776,ns,,,,,
"F16_ref_15/decode_stddev",20,0.187886,0.172763,ns,,,,,
"F16_test_15/decode_mean",20,9.35923,9.33423,ns,,,,,
"F16_test_15/decode_median",20,9.29371,9.27464,ns,,,,,
"F16_test_15/decode_stddev",20,0.217614,0.202924,ns,,,,,
"F16_ref_23/encode_mean",20,9.50396,9.48381,ns,,,,,
"F16_ref_23/encode_median",20,9.46718,9.45526,ns,,,,,
"F16_ref_23/encode_stddev",20,0.134285,0.123837,ns,,,,,
"F16_test_23/encode_mean",20,8.92203,8.89717,ns,,,,,
"F16_test_23/encode_median",20,8.81048,8.79708,ns,,,,,
"F16_test_23/encode_stddev",20,0.27895,0.257913,ns,,,,,
"F16_ref_23/decode_mean",20,8.76389,8.74317,ns,,,,,
"F16_ref_23/decode_median",20,8.71617,8.70204,ns,,,,,
"F16_ref_23/decode_stddev",20,0.193997,0.183789,ns,,,,,
"F16_test_23/decode_mean",20,9.5544,9.4697,ns,,,,,
"F16_test_23/decode_median",20,9.35908,9.3471,ns,,,,,
"F16_test_23/decode_stddev",20,0.44122,0.270488,ns,,,,,
"F16_ref_31/encode_mean",20,10.3916,10.3594,ns,,,,,
"F16_ref_31/encode_median",20,10.3435,10.3032,ns,,,,,
"F16_ref_31/encode_stddev",20,0.193552,0.183735,ns,,,,,
"F16_test_31/encode_mean",20,9.35904,9.32312,ns,,,,,
"F16_test_31/encode_median",20,9.26627,9.24488,ns,,,,,
"F16_test_31/encode_stddev",20,0.319141,0.286335,ns,,,,,
"F16_ref_31/decode_mean",20,9.11164,9.08743,ns,,,,,
"F16_ref_31/decode_median",20,8.99791,8.97942,ns,,,,,
"F16_ref_31/decode_stddev",20,0.30623,0.291905,ns,,,,,
"F16_test_31/decode_mean",20,9.69661,9.67318,ns,,,,,
"F16_test_31/decode_median",20,9.65015,9.63148,ns,,,,,
"F16_test_31/decode_stddev",20,0.137364,0.117507,ns,,,,,
"F16_ref_63/encode_mean",20,12.2865,12.255,ns,,,,,
"F16_ref_63/encode_median",20,12.1606,12.1466,ns,,,,,
"F16_ref_63/encode_stddev",20,0.326641,0.30083,ns,,,,,
"F16_test_63/encode_mean",20,11.4513,11.4238,ns,,,,,
"F16_test_63/encode_median",20,11.3683,11.3393,ns,,,,,
"F16_test_63/encode_stddev",20,0.256979,0.23458,ns,,,,,
"F16_ref_63/decode_mean",20,11.274,11.2432,ns,,,,,
"F16_ref_63/decode_median",20,11.1962,11.1644,ns,,,,,
"F16_ref_63/decode_stddev",20,0.232282,0.215527,ns,,,,,
"F16_test_63/decode_mean",20,12.6059,12.5689,ns,,,,,
"F16_test_63/decode_median",20,12.5081,12.4853,ns,,,,,
"F16_test_63/decode_stddev",20,0.235138,0.218784,ns,,,,,
"F16_ref_75/encode_mean",20,10.1333,10.0961,ns,,,,,
"F16_ref_75/encode_median",20,10.0646,10.0438,ns,,,,,
"F16_ref_75/encode_stddev",20,0.216422,0.177322,ns,,,,,
"F16_test_75/encode_mean",20,10.8404,10.8137,ns,,,,,
"F16_test_75/encode_median",20,10.7609,10.7335,ns,,,,,
"F16_test_75/encode_stddev",20,0.240014,0.223421,ns,,,,,
"F16_ref_75/decode_mean",20,9.85317,9.82192,ns,,,,,
"F16_ref_75/decode_median",20,9.71952,9.68992,ns,,,,,
"F16_ref_75/decode_stddev",20,0.297526,0.279727,ns,,,,,
"F16_test_75/decode_mean",20,9.34201,9.31024,ns,,,,,
"F16_test_75/decode_median",20,9.26238,9.2395,ns,,,,,
"F16_test_75/decode_stddev",20,0.220711,0.205178,ns,,,,,
"F16_ref_95/encode_mean",20,14.0947,14.0572,ns,,,,,
"F16_ref_95/encode_median",20,13.9777,13.95,ns,,,,,
"F16_ref_95/encode_stddev",20,0.32456,0.28765,ns,,,,,
"F16_test_95/encode_mean",20,13.6648,13.6281,ns,,,,,
"F16_test_95/encode_median",20,13.5726,13.5467,ns,,,,,
"F16_test_95/encode_stddev",20,0.259983,0.231795,ns,,,,,
"F16_ref_95/decode_mean",20,14.2619,14.2273,ns,,,,,
"F16_ref_95/decode_median",20,14.1848,14.162,ns,,,,,
"F16_ref_95/decode_stddev",20,0.227151,0.211679,ns,,,,,
"F16_test_95/decode_mean",20,12.9053,12.8578,ns,,,,,
"F16_test_95/decode_median",20,12.8342,12.7931,ns,,,,,
"F16_test_95/decode_stddev",20,0.361335,0.340429,ns,,,,,
"F16_ref_100/encode_mean",20,13.418,13.3797,ns,,,,,
"F16_ref_100/encode_median",20,13.3014,13.2568,ns,,,,,
"F16_ref_100/encode_stddev",20,0.312594,0.2899,ns,,,,,
"F16_test_100/encode_mean",20,12.0851,12.0565,ns,,,,,
"F16_test_100/encode_median",20,12.0437,12.0208,ns,,,,,
"F16_test_100/encode_stddev",20,0.190812,0.16511,ns,,,,,
"F16_ref_100/decode_mean",20,12.7245,12.6851,ns,,,,,
"F16_ref_100/decode_median",20,12.6071,12.5864,ns,,,,,
"F16_ref_100/decode_stddev",20,0.284583,0.269461,ns,,,,,
"F16_test_100/decode_mean",20,10.4382,10.4106,ns,,,,,
"F16_test_100/decode_median",20,10.2696,10.2494,ns,,,,,
"F16_test_100/decode_stddev",20,0.553463,0.538496,ns,,,,,
"F16_ref_101/encode_mean",20,13.0622,13.0226,ns,,,,,
"F16_ref_101/encode_median",20,12.9475,12.918,ns,,,,,
"F16_ref_101/encode_stddev",20,0.329303,0.311859,ns,,,,,
"F16_test_101/encode_mean",20,13.6057,13.5658,ns,,,,,
"F16_test_101/encode_median",20,13.5187,13.4786,ns,,,,,
"F16_test_101/encode_stddev",20,0.300167,0.284101,ns,,,,,
"F16_ref_101/decode_mean",20,13.015,12.9765,ns,,,,,
"F16_ref_101/decode_median",20,12.9215,12.8982,ns,,,,,
"F16_ref_101/decode_stddev",20,0.29759,0.262494,ns,,,,,
"F16_test_101/decode_mean",20,11.3274,11.2956,ns,,,,,
"F16_test_101/decode_median",20,11.2546,11.2253,ns,,,,,
"F16_test_101/decode_stddev",20,0.2505,0.234216,ns,,,,,
"F16_ref_103/encode_mean",20,15.2935,15.24,ns,,,,,
"F16_ref_103/encode_median",20,15.1471,15.0837,ns,,,,,
"F16_ref_103/encode_stddev",20,0.417392,0.388562,ns,,,,,
"F16_test_103/encode_mean",20,14.5151,14.4781,ns,,,,,
"F16_test_103/encode_median",20,14.4166,14.3805,ns,,,,,
"F16_test_103/encode_stddev",20,0.306254,0.284554,ns,,,,,
"F16_ref_103/decode_mean",20,14.8152,14.7597,ns,,,,,
"F16_ref_103/decode_median",20,14.5849,14.5618,ns,,,,,
"F16_ref_103/decode_stddev",20,0.635148,0.567769,ns,,,,,
"F16_test_103/decode_mean",20,12.7273,12.7022,ns,,,,,
"F16_test_103/decode_median",20,12.6605,12.644,ns,,,,,
"F16_test_103/decode_stddev",20,0.221164,0.206768,ns,,,,,
"F16_ref_127/encode_mean",20,17.2296,17.1588,ns,,,,,
"F16_ref_127/encode_median",20,17.0243,16.9844,ns,,,,,
"F16_ref_127/encode_stddev",20,0.464962,0.417333,ns,,,,,
"F16_test_127/encode_mean",20,16.1807,16.1381,ns,,,,,
"F16_test_127/encode_median",20,16.0498,16.0133,ns,,,,,
"F16_test_127/encode_stddev",20,0.331452,0.312103,ns,,,,,
"F16_ref_127/decode_mean",20,16.2879,16.1882,ns,,,,,
"F16_ref_127/decode_median",20,16.137,16.1063,ns,,,,,
"F16_ref_127/decode_stddev",20,0.629289,0.458615,ns,,,,,
"F16_test_127/decode_mean",20,14.0107,13.967,ns,,,,,
"F16_test_127/decode_median",20,13.8633,13.8288,ns,,,,,
"F16_test_127/decode_stddev",20,0.340332,0.320465,ns,,,,,